V_c, I_l, Ref
0.0000, 0.00002, 0.5481 
0.0391, 0.00231, 1.0764 
0.1124, 0.00435, 1.5798 
0.2151, 0.00620, 2.0639 
0.3519, 0.00775, 2.5135 
0.5132, 0.00909, 2.9350 
0.6940, 0.01018, 3.3196 
0.8798, 0.01109, 3.6697 
1.0850, 0.01173, 3.9780 
1.2903, 0.01213, 4.2333 
1.4907, 0.01193, 4.3546 
1.6764, 0.01142, 4.3964 
1.8475, 0.01086, 4.4165 
2.0039, 0.01033, 4.4294 
2.1505, 0.00982, 4.4391 
2.2874, 0.00933, 4.4455 
2.4145, 0.00891, 4.4584 
2.5269, 0.00849, 4.4592 
2.6295, 0.00811, 4.4616 
2.7273, 0.00775, 4.4649 
2.8201, 0.00740, 4.4641 
2.8983, 0.00706, 4.4561 
2.9717, 0.00671, 4.4392 
3.0401, 0.00631, 4.4087 
3.0938, 0.00593, 4.3710 
3.1427, 0.00553, 4.3245 
3.1867, 0.00511, 4.2691 
3.2209, 0.00471, 4.2105 
3.2502, 0.00431, 4.1479 
3.2649, 0.00398, 4.0877 
3.2747, 0.00364, 4.0234 
3.2845, 0.00329, 3.9544 
3.2845, 0.00298, 3.8870 
3.2796, 0.00269, 3.8203 
3.2698, 0.00244, 3.7593 
3.2551, 0.00222, 3.6991 
3.2405, 0.00200, 3.6389 
3.2209, 0.00182, 3.5843 
3.2014, 0.00164, 3.5297 
3.1769, 0.00153, 3.4855 
3.1525, 0.00142, 3.4414 
3.1232, 0.00136, 3.4028 
3.0987, 0.00131, 3.3731 
3.0743, 0.00129, 3.3482 
3.0499, 0.00129, 3.3282 
3.0254, 0.00131, 3.3129 
3.0010, 0.00136, 3.3025 
2.9765, 0.00142, 3.2968 
2.9570, 0.00147, 3.2904 
2.9374, 0.00153, 3.2888 
2.9228, 0.00160, 3.2912 
2.9032, 0.00169, 3.2944 
2.8935, 0.00176, 3.3008 
2.8837, 0.00182, 3.3072 
2.8739, 0.00189, 3.3137 
2.8641, 0.00198, 3.3249 
2.8543, 0.00209, 3.3410 
2.8495, 0.00215, 3.3514 
2.8446, 0.00224, 3.3666 
2.8446, 0.00229, 3.3763 
2.8446, 0.00233, 3.3859 
2.8446, 0.00238, 3.3956 
2.8446, 0.00242, 3.4052 
2.8446, 0.00249, 3.4196 
2.8446, 0.00255, 3.4341 
2.8495, 0.00260, 3.4477 
2.8543, 0.00264, 3.4614 
2.8592, 0.00267, 3.4702 
2.8641, 0.00269, 3.4790 
2.8690, 0.00271, 3.4879 
2.8739, 0.00273, 3.4967 
2.8788, 0.00275, 3.5055 
2.8837, 0.00275, 3.5096 
2.8886, 0.00275, 3.5136 
2.8935, 0.00275, 3.5176 
2.8983, 0.00275, 3.5216 
2.9032, 0.00275, 3.5256 
2.9081, 0.00273, 3.5248 
2.9130, 0.00273, 3.5288 
2.9179, 0.00271, 3.5280 
2.9179, 0.00271, 3.5280 
2.9228, 0.00269, 3.5272 
2.9277, 0.00267, 3.5264 
2.9277, 0.00267, 3.5264 
2.9326, 0.00264, 3.5256 
2.9326, 0.00262, 3.5208 
2.9374, 0.00258, 3.5152 
2.9374, 0.00255, 3.5104 
2.9374, 0.00253, 3.5056 
2.9374, 0.00251, 3.5007 
2.9374, 0.00249, 3.4959 
2.9374, 0.00247, 3.4911 
2.9326, 0.00247, 3.4871 
2.9326, 0.00247, 3.4871 
2.9326, 0.00247, 3.4871 
2.9326, 0.00247, 3.4871 
2.9326, 0.00247, 3.4871 
2.9326, 0.00247, 3.4871 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9326, 0.00247, 3.4871 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9326, 0.00247, 3.4871 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00249, 3.4879 
2.9277, 0.00247, 3.4831 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9277, 0.00247, 3.4831 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9277, 0.00247, 3.4831 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00249, 3.4839 
2.9228, 0.00247, 3.4791 
2.9228, 0.00247, 3.4791 
2.9228, 0.00247, 3.4791 
2.9179, 0.00249, 3.4799 
2.9228, 0.00247, 3.4791 
2.9179, 0.00249, 3.4799 
2.9228, 0.00247, 3.4791 
2.9179, 0.00249, 3.4799 
2.9179, 0.00249, 3.4799 
2.9179, 0.00249, 3.4799 
2.9179, 0.00249, 3.4799 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9179, 0.00247, 3.4750 
2.9179, 0.00247, 3.4750 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
2.9130, 0.00249, 3.4758 
